listing_id,num_reviews,num_reviews_bin
34177,16,4
73477,11,4
77292,14,4
88949,112,6
101397,93,6
124137,139,6
130289,10,4
135858,19,4
135956,43,5
140269,128,6
164216,36,5
166265,221,6
170150,103,6
171593,3,2
183804,121,6
191058,38,5
191069,31,5
199411,100,6
220131,81,6
253055,94,6
256825,244,6
256838,58,6
259206,42,5
271439,160,6
276621,82,6
282148,103,6
282266,56,6
282289,139,6
282295,124,6
304011,37,5
351790,2,1
362196,167,6
362228,224,6
371112,132,6
374837,138,6
398075,119,6
406324,82,6
422001,32,5
422071,62,6
447142,27,5
469638,27,5
484153,2,1
499401,7,3
507117,1,1
511597,1,1
516720,40,5
519364,200,6
519468,244,6
520238,340,6
523882,1,1
536526,64,6
541629,20,4
541989,12,4
559714,75,6
572504,25,5
576358,20,4
576710,25,5
607323,153,6
607344,66,6
612327,304,6
618156,135,6
630800,106,6
632120,15,4
638542,299,6
646784,109,6
652469,7,3
659314,201,6
663291,204,6
688345,1,1
691572,45,5
718917,496,6
724513,4,2
741440,56,6
742074,104,6
742078,88,6
742088,115,6
746868,46,5
750291,15,4
760403,46,5
776764,12,4
782389,8,3
784758,1,1
785113,55,6
785494,275,6
791056,128,6
820752,15,4
821841,23,5
836523,1,1
843343,17,4
846376,69,6
849707,70,6
853021,147,6
869892,60,6
871348,96,6
871781,131,6
874508,81,6
874935,221,6
879400,2,1
896029,3,2
903061,9,3
905809,74,6
906294,15,4
908653,335,6
929076,7,3
937206,55,6
940801,57,6
940804,52,6
940808,121,6
940809,79,6
940812,126,6
940814,119,6
940818,77,6
940821,39,5
940824,77,6
940826,92,6
940833,44,5
948686,13,4
955886,2,1
958273,247,6
958384,392,6
959977,368,6
974082,13,4
974147,1,1
986086,200,6
1008928,227,6
1011850,11,4
1016722,194,6
1029771,199,6
1029997,234,6
1033440,180,6
1033637,304,6
1033655,256,6
1050338,67,6
1054647,3,2
1058429,133,6
1058555,76,6
1067754,45,5
1081374,1,1
1082592,1,1
1083510,128,6
1131124,101,6
1144115,73,6
1190556,39,5
1192463,3,2
1197075,198,6
1213061,26,5
1218451,3,2
1230718,315,6
1230768,163,6
1235446,20,4
1254277,208,6
1268910,29,5
1271166,71,6
1283392,114,6
1294827,219,6
1296050,75,6
1302534,49,5
1322827,1,1
1345776,59,6
1413677,121,6
1435471,98,6
1437541,105,6
1476508,144,6
1491238,54,6
1492036,118,6
1498541,2,1
1499119,247,6
1529536,13,4
1614221,287,6
1627801,14,4
1633191,90,6
1634746,39,5
1635900,150,6
1644722,243,6
1651462,42,5
1653795,50,5
1655941,194,6
1662580,1,1
1682486,1,1
1725117,190,6
1745722,61,6
1775170,340,6
1777144,57,6
1800776,63,6
1832186,475,6
1839271,11,4
1848803,85,6
1862030,67,6
1925644,376,6
1925646,11,4
1991233,43,5
2009373,182,6
2073897,74,6
2076890,17,4
2080618,88,6
2084785,28,5
2106566,5,3
2115263,155,6
2119698,57,6
2120114,66,6
2121603,133,6
2168002,88,6
2196825,17,4
2211837,159,6
2229942,53,6
2234507,1,1
2242689,142,6
2255561,106,6
2256299,88,6
2259084,60,6
2262932,7,3
2264068,34,5
2264434,35,5
2311443,193,6
2320305,100,6
2320332,221,6
2320341,198,6
2320404,153,6
2320422,170,6
2320433,173,6
2320439,111,6
2375944,47,5
2379064,78,6
2416697,15,4
2422829,24,5
2476233,307,6
2485418,5,3
2492835,115,6
2512737,13,4
2523261,17,4
2563338,18,4
2630989,1,1
2669871,2,1
2708036,52,6
2758734,2,1
2788802,78,6
2827206,13,4
2842055,144,6
2856208,59,6
2856810,66,6
2899452,252,6
2912078,64,6
2946152,46,5
2956971,174,6
2965838,83,6
2966834,49,5
2975082,1,1
2975564,5,3
2981114,4,2
3030216,83,6
3045060,43,5
3065734,258,6
3093528,455,6
3098667,1,1
3121103,21,4
3160121,13,4
3172844,9,3
3178105,13,4
3192579,1,1
3203890,108,6
3216533,2,1
3236171,73,6
3263927,170,6
3301481,48,5
3302466,2,1
3308974,17,4
3313109,45,5
3357068,11,4
3357150,348,6
3366207,21,4
3405707,2,1
3429640,293,6
3454629,3,2
3486257,62,6
3487456,50,5
3490772,22,5
3494585,167,6
3517150,296,6
3517494,160,6
3517568,119,6
3537435,138,6
3570129,400,6
3570282,408,6
3598671,247,6
3639238,7,3
3642227,2,1
3644775,126,6
3677284,3,2
3683927,133,6
3699442,170,6
3701342,216,6
3707716,132,6
3711150,72,6
3746735,135,6
3755205,157,6
3765634,26,5
3769618,85,6
3797539,5,3
3882914,10,4
3938250,1,1
3945384,163,6
3945835,8,3
3950512,5,3
3950864,5,3
3959552,71,6
3998799,37,5
4021625,102,6
4034893,73,6
4035266,18,4
4037080,30,5
4037346,53,6
4042600,55,6
4042700,30,5
4043923,29,5
4044038,25,5
4044301,41,5
4044582,52,6
4049958,105,6
4056987,149,6
4057320,116,6
4105090,1,1
4110957,2,1
4119020,49,5
4123602,39,5
4140071,9,3
4150745,180,6
4161133,46,5
4169919,71,6
4216459,506,6
4221645,40,5
4231434,15,4
4313334,41,5
4349756,137,6
4359997,2,1
4373763,27,5
4376867,5,3
4380494,52,6
4390796,255,6
4423474,52,6
4424054,34,5
4425965,248,6
4433942,3,2
4442791,419,6
4443091,238,6
4443316,1,1
4443412,70,6
4443505,35,5
4443624,78,6
4445647,2,1
4454503,14,4
4456792,76,6
4460207,20,4
4478215,34,5
4480737,7,3
4487133,2,1
4497823,289,6
4537932,20,4
4545808,33,5
4547384,34,5
4553383,49,5
4562444,20,4
4584562,34,5
4584867,150,6
4594357,33,5
4615908,3,2
4627130,166,6
4627484,8,3
4637272,12,4
4700162,38,5
4723331,95,6
4734756,56,6
4736645,4,2
4748092,27,5
4748563,10,4
4755485,14,4
4758565,26,5
4812243,109,6
4842966,23,5
4848849,32,5
4870039,119,6
4870346,6,3
4871579,2,1
4875278,22,5
4876386,27,5
4894884,31,5
4913768,12,4
4964466,39,5
4965075,118,6
4966009,54,6
5009749,1,1
5066978,83,6
5129159,3,2
5139769,1,1
5148344,344,6
5167454,144,6
5167929,31,5
5193581,18,4
5199858,1,1
5228368,79,6
5228870,77,6
5229195,318,6
5240945,59,6
5244149,8,3
5266737,76,6
5267990,83,6
5268433,36,5
5273162,21,4
5273249,22,5
5275536,29,5
5275657,21,4
5276460,50,5
5276509,287,6
5276885,45,5
5317179,93,6
5330937,16,4
5331101,21,4
5332123,167,6
5332493,1,1
5333241,10,4
5340602,216,6
5352841,2,1
5360506,185,6
5360777,126,6
5369220,4,2
5373475,24,5
5378766,224,6
5380709,95,6
5390405,318,6
5393121,78,6
5393495,116,6
5409968,36,5
5433084,8,3
5440634,61,6
5450668,88,6
5451782,33,5
5463601,11,4
5503376,91,6
5513272,241,6
5527138,126,6
5527457,90,6
5527534,11,4
5528102,217,6
5528217,110,6
5528670,9,3
5529833,31,5
5530767,125,6
5534700,3,2
5543311,46,5
5551051,18,4
5555181,17,4
5574192,113,6
5596920,49,5
5650577,143,6
5663555,69,6
5665579,4,2
5699289,7,3
5699793,1,1
5701245,139,6
5713667,8,3
5722758,24,5
5733293,290,6
5824485,46,5
5849499,39,5
5865327,45,5
5883037,46,5
5892515,8,3
5895793,357,6
5906035,91,6
5906616,7,3
5906695,330,6
5908045,268,6
5908453,54,6
5908758,49,5
5908938,22,5
5921745,1,1
5922850,10,4
5944929,27,5
5951095,1,1
5997128,159,6
5999514,60,6
6004140,5,3
6009785,290,6
6028877,76,6
6034192,64,6
6087777,95,6
6097022,140,6
6110739,112,6
6185529,4,2
6197279,7,3
6207018,210,6
6217173,66,6
6218529,10,4
6218631,15,4
6218705,350,6
6218765,37,5
6218862,38,5
6219067,41,5
6219261,4,2
6247930,161,6
6256194,25,5
6265781,15,4
6334802,29,5
6365174,77,6
6365965,7,3
6379964,6,3
6383915,84,6
6384639,38,5
6396412,68,6
6396593,103,6
6396705,125,6
6396768,160,6
6397173,142,6
6397391,149,6
6422060,165,6
6424451,2,1
6483048,12,4
6486388,60,6
6486702,75,6
6496091,50,5
6534803,1,1
6535193,96,6
6539491,2,1
6549527,542,6
6562912,163,6
6563927,3,2
6564097,101,6
6565853,84,6
6566881,125,6
6568476,104,6
6572468,1,1
6573005,18,4
6578935,63,6
6585856,92,6
6593292,190,6
6594020,74,6
6594896,117,6
6612410,245,6
6623365,3,2
6663647,41,5
6664471,484,6
6665530,338,6
6669300,55,6
6671804,46,5
6682900,483,6
6690395,4,2
6710663,6,3
6713705,25,5
6755743,146,6
6762407,83,6
6807419,49,5
6830335,84,6
6856474,19,4
6874894,27,5
6888863,44,5
6925815,25,5
6943257,80,6
6968151,168,6
6969916,100,6
6980144,29,5
6983979,50,5
7001892,31,5
7055710,6,3
7059898,10,4
7068260,155,6
7117269,11,4
7131474,23,5
